description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
Use specific annotation prefixes in Kubernetes to control node autoscaling,"Using specific annotation prefixes allows for more granular control over node autoscaling. It differentiates between pods not safe to evict by autoscalers and those not safe to evict by any standard draining mechanism, enabling more efficient resource management.",Managing Kubernetes node autoscaling,Efficiency,4,4,Observed,rule-of-thumb,Resource Management,N,nan,nan,nan,nan,nan,2024-07-09,github/MaciekPytel,https://github.com/kubernetes/kubernetes/pull/124800#issuecomment-2218288529,repo: kubernetes/kubernetes | issue: Define a common Node autoscaling safe-to-evict/do-not-disrupt annotation | keyword: best practice
Prioritize error tracking even during debug information collection,Errors during the debug information collection process can provide valuable insights into the root cause of issues. Ignoring these can lead to missed opportunities for problem resolution.,Debugging software issues,Efficiency,4,4,Anecdotal,rule-of-thumb,Error Management,N,nan,nan,nan,nan,nan,2024-11-07,github/aojea,https://github.com/kubernetes/kubernetes/issues/128655#issuecomment-2462702572,repo: kubernetes/kubernetes | issue: Failure cluster [245f6915...]: Networking Granular Checks: Services should update endpoints: http | keyword: lesson learned
Use `forbidigo` to prevent new usage of unwanted dependencies instead of rewriting them.,"`forbidigo` is a linter that forbids certain identifiers. By using it, you can prevent new usages of unwanted dependencies, which is more efficient than rewriting existing ones. This approach allows you to maintain control over your codebase and ensure that unwanted dependencies do not proliferate.",Managing unwanted code dependencies,Efficiency,4,4,Observed,workaround,Code Management,N,nan,nan,nan,nan,nan,2025-08-14,github/BenTheElder,https://github.com/kubernetes/kubernetes/issues/129652#issuecomment-3186234245,repo: kubernetes/kubernetes | issue: Remove the MD5 hash function for FIPS compliance | keyword: workaround
Use a local caching proxy as a point of failure instead of the remote registry,"By making the local caching proxy the point of failure, you can mitigate the risk of remote registry unavailability affecting your operations. This is especially useful when dealing with mutable tags that may not be supported by the remote registry.",Mitigating remote registry unavailability,Risk,4,3,Observed,workaround,Risk Management,N,nan,nan,nan,nan,nan,2023-11-07,github/Alibirb,https://github.com/kubernetes/kubernetes/issues/111822#issuecomment-1800277335,repo: kubernetes/kubernetes | issue: imagePullPolicy to pull latest image OR use existing image if repository unavailable | keyword: workaround
Use Multi-Process Service (MPS) to allow multiple processes to share a single GPU.,"By default, kernels from different processes can't run on one GPU simultaneously. They are time sliced. The Pascal architecture brings instruction-level preemption instead of block-level preemption, but context switches are not free. Also, there is no way of partitioning GPU resources (SMs, memory), or even assigning priorities when sharing a card. MPS allows for better resource allocation and management.",Sharing GPU to multiple containers,Efficiency,3,4,Observed,workaround,Resource Management,N,nan,nan,nan,nan,nan,2017-09-20,github/RenaudWasTaken,https://github.com/kubernetes/kubernetes/issues/52757#issuecomment-330766518,repo: kubernetes/kubernetes | issue: Is sharing GPU to multiple containers feasible? | keyword: workaround
"Create a new 'availability zone' with desired storage characteristics, migrate data, then destroy the old zone when dealing with limitations on elasticsearch.","This workaround allows for changes in storage characteristics without running into issues with EBS volumes being unable to be assigned due to being in the wrong availability zone. By creating a new 'availability zone' with the desired characteristics, data can be migrated smoothly without disruption.",Elasticsearch storage characteristic changes,Efficiency,4,4,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2019-02-22,github/DaveWHarvey,https://github.com/kubernetes/kubernetes/issues/68737#issuecomment-466514840,repo: kubernetes/kubernetes | issue: StatefulSet: support resize pvc storage in K8s v1.11 | keyword: workaround
Use built-in immutability validation for root resources to avoid sub-par validation issues.,"This tactic works because built-in immutability validation provides a more robust validation mechanism for root resources, reducing the likelihood of errors and improving the overall quality of the data.",Improving data validation in root resources,Efficiency,4,4,Observed,workaround,Data Validation,N,nan,nan,nan,nan,nan,2024-01-24,github/jpbetz,https://github.com/kubernetes/kubernetes/issues/122163#issuecomment-1907223578,repo: kubernetes/kubernetes | issue: Consider allowing CEL validation of metadata.namespace field of embedded resource | keyword: workaround
Use a combination of Kubernetes' PodDisruptionBudget (PDB) and Horizontal Pod Autoscaler (HPA) to maintain minimum pod availability during node drains.,"By setting a PDB, you can ensure a minimum number of pods are always available. However, during a `kubectl drain`, you may hit the PDB limit and be unable to evict further pods. By also using an HPA, you can automatically scale up your pods before the drain, ensuring you have enough pods to maintain your service while staying within the PDB limits.",Maintaining service during Kubernetes node drains,Efficiency,3,4,Observed,workaround,Service Availability,N,nan,nan,nan,nan,nan,2022-09-26,github/ldemailly,https://github.com/kubernetes/kubernetes/issues/93476#issuecomment-1258433810,repo: kubernetes/kubernetes | issue: Allow scaling up to meet PDB constraints | keyword: workaround
"Avoid changing the secret type in Kubernetes environment variables directly. Instead, create a new variable with the desired secret type.","Changing the secret type of an existing environment variable can lead to invalid configurations, as Kubernetes does not allow a variable to have both a 'value' and a 'valueFrom' field. Creating a new variable avoids this conflict.",Managing environment variables in Kubernetes,Efficiency,4,5,Observed,workaround,DevOps,N,nan,nan,nan,nan,nan,2020-04-22,github/Thematrixme,https://github.com/kubernetes/kubernetes/issues/46861#issuecomment-617838488,"repo: kubernetes/kubernetes | issue: ENV invalid: spec.template.spec.containers[0].env[14].valueFrom: Invalid value: """": may not be specified when `value` is not empty | keyword: workaround"
Use `kubectl edit <DEPLOYMENT>` to remove literally defined Environment vars before applying new deployment with secret-defined vars.,The Kubernetes deployment fails when Environment vars are defined both literally and in the secret. Removing the literal definitions before applying the new deployment resolves the conflict.,Resolving Kubernetes deployment failure,Efficiency,4,4,Observed,workaround,Deployment Management,N,nan,nan,nan,nan,nan,2020-06-12,github/MortezaHosseini,https://github.com/kubernetes/kubernetes/issues/46861#issuecomment-643101281,"repo: kubernetes/kubernetes | issue: ENV invalid: spec.template.spec.containers[0].env[14].valueFrom: Invalid value: """": may not be specified when `value` is not empty | keyword: workaround"
Avoid using 'kubectl apply' after 'kubectl create' for the same Kubernetes resource,"The data structures for 'kubectl create' and 'kubectl apply' are slightly different, which can cause conflicts when updating resources. Instead, use 'kubectl replace' or 'kubectl edit' to update resources created with 'kubectl create'.",Updating Kubernetes resources,Efficiency,4,5,Observed,workaround,DevOps,N,nan,nan,nan,nan,nan,2020-10-05,github/immortalize,https://github.com/kubernetes/kubernetes/issues/46861#issuecomment-703858205,"repo: kubernetes/kubernetes | issue: ENV invalid: spec.template.spec.containers[0].env[14].valueFrom: Invalid value: """": may not be specified when `value` is not empty | keyword: workaround"
Prioritize network adequacy when troubleshooting service mesh issues.,"The network is often overlooked, but it's a common denominator in many setups and can be the root cause of service mesh issues. Providers like DO or Google Cloud rarely have these issues, indicating a strong network is key.",Troubleshooting service mesh issues,Efficiency,4,4,Observed,workaround,Network Troubleshooting,N,nan,nan,nan,nan,nan,2021-04-30,github/gridworkz,https://github.com/kubernetes/kubernetes/issues/61117#issuecomment-830231248,repo: kubernetes/kubernetes | issue: PLEG is not healthy | keyword: workaround
"Create a new chain linking services chain to service-ports chain if destination address matches any of cluster, loadbalancer, or external IP, then add a rule to match on service port verdict map in this new chain and reject if nothing matches.","This approach allows for more granular control over service IP port connections, reducing the risk of unauthorized access through invalid ports. By creating a separate chain for service ports and setting specific rules, you can ensure that only valid connections are accepted.",Managing Kubernetes service IP connections,Risk,4,3,Observed,workaround,Network Security,N,nan,nan,nan,nan,nan,2024-01-10,github/aroradaman,https://github.com/kubernetes/kubernetes/issues/122572#issuecomment-1884474235,repo: kubernetes/kubernetes | issue: nftables kube-proxy TODO | keyword: workaround
Prioritize object-versioning over resource-versioning in cross-object ordering,"Object-versioning allows for more precise control and predictability in cross-object ordering scenarios. It ensures that you wait for a specific object to reach a certain version, rather than waiting for any object to reach a certain resource version. This reduces the risk of unexpected behavior or errors.",Cross-object ordering in coding,Efficiency,4,4,Observed,workaround,Coding Efficiency,N,nan,nan,nan,nan,nan,2022-09-22,github/lavalamp,https://github.com/kubernetes/kubernetes/issues/112684#issuecomment-1255537283,repo: kubernetes/kubernetes | issue: RV vs object-wide logical clock | keyword: gotcha
Avoid overcomplicating solutions with unnecessary steps and modifications.,"Simpler solutions are easier to implement, maintain, and troubleshoot. Overcomplicated solutions can introduce unnecessary complexity and potential points of failure.",Developing software features,Efficiency,4,4,Observed,rule-of-thumb,Software Development,N,nan,nan,nan,nan,nan,2016-04-30,github/thockin,https://github.com/kubernetes/kubernetes/issues/24957#issuecomment-215940195,repo: kubernetes/kubernetes | issue: Feature request: A way to signal pods | keyword: gotcha
Avoid overlapping concepts in product development to increase efficiency.,"Overlapping concepts can lead to confusion, redundancy, and wasted resources. By focusing on a single, comprehensive solution, you can streamline the development process and create a more cohesive product.",Product development and design,Efficiency,4,4,Observed,rule-of-thumb,Product Development,N,nan,nan,nan,nan,nan,2016-04-30,github/bprashanth,https://github.com/kubernetes/kubernetes/issues/24957#issuecomment-215940594,repo: kubernetes/kubernetes | issue: Feature request: A way to signal pods | keyword: gotcha
Use notifiers attached to configmap changes to signal pods,This approach allows for more granular control and avoids the risk of overlapping concepts that can result from using a straight signal. It also increases the utility of the configmap by leveraging it as a communication tool.,Signaling pods in Kubernetes,Efficiency,4,4,Observed,workaround,System Configuration,N,nan,nan,nan,nan,nan,2016-04-30,github/thockin,https://github.com/kubernetes/kubernetes/issues/24957#issuecomment-215940810,repo: kubernetes/kubernetes | issue: Feature request: A way to signal pods | keyword: gotcha
Use 'in-flight claim' maps instead of 'assume cache' for handling local modifications in dynamicresource plugins.,"This approach avoids the root cause of race conditions that arise from storing a locally modified copy of the object in the 'assume cache'. The 'in-flight claim' map provides a safer alternative for local modifications, reducing the risk of conflicts and ensuring smoother plugin operation.",Handling local modifications in plugins,Risk,4,4,Observed,workaround,Conflict Management,N,nan,nan,nan,nan,nan,2024-04-20,github/pohly,https://github.com/kubernetes/kubernetes/issues/118612#issuecomment-2067619788,repo: kubernetes/kubernetes | issue: DRA: integration with cluster autoscaler | keyword: gotcha
"Use Ubuntu 18.04.6 LTS instead of Ubuntu 22.04 when installing kubelet, kubeadm, and kubectl to avoid 'Nameserver limits exceeded' error.","Ubuntu 18.04.6 LTS has been observed to work well with these installations, while Ubuntu 22.04 has been reported to cause issues. This could be due to differences in the way the two versions handle DNS servers.","Installing kubelet, kubeadm, kubectl",Efficiency,3,5,Observed,workaround,System Installation,N,nan,nan,nan,nan,nan,2024-03-22,github/Omar-Bensalah,https://github.com/kubernetes/kubernetes/issues/118461#issuecomment-2016090391,repo: kubernetes/kubernetes | issue: kube-proxy pods continuously CrashLoopBackOff | keyword: pro tip
"Use crictl commands to manually remove old, dead pods before attempting a reinstall.","Old, dead pods from previous versions can interfere with the system's operation, leading to error messages and crashes. Manually removing these pods using crictl commands can help keep the system clean and prevent these issues.",Preventing system crashes in Kubernetes,Efficiency,4,4,Observed,workaround,System Maintenance,N,nan,nan,nan,nan,nan,2024-04-09,github/bsdero,https://github.com/kubernetes/kubernetes/issues/118461#issuecomment-2046154559,repo: kubernetes/kubernetes | issue: kube-proxy pods continuously CrashLoopBackOff | keyword: pro tip
Use a `yaml` file with a reverse proxy when needing to create a proxy pass to a backend in a React JS app.,This tactic allows the React JS app to communicate with the backend while avoiding direct exposure of the backend to the client. It also enables the handling of cross-origin resource sharing (CORS) issues which are common in such configurations.,React JS app backend communication,Efficiency,4,4,Observed,workaround,Backend Communication,N,nan,nan,nan,nan,nan,2024-06-26,github/tomasmalio,https://github.com/kubernetes/kubernetes/issues/118461#issuecomment-2191029979,repo: kubernetes/kubernetes | issue: kube-proxy pods continuously CrashLoopBackOff | keyword: pro tip
Use specific directives instead of generic permissions in code testing,"Specific directives like 'ok to test' provide clear instructions to admins, reducing the risk of misinterpretation or incorrect actions. This is especially important in code testing where incorrect actions can lead to bugs or system failures.",Code testing in collaborative projects,Efficiency,4,4,Observed,rule-of-thumb,Code Testing,N,nan,nan,nan,nan,nan,2016-07-05,github/k8s-bot,https://github.com/kubernetes/kubernetes/pull/28509#issuecomment-230594762,repo: kubernetes/kubernetes | issue: Update HumanResourcePrinter signature w single PrintOptions param | keyword: pro tip
Use specific commands for testing approval in collaborative coding projects.,"Using specific commands like 'ok to test' ensures that only authorized admins can approve testing, reducing the risk of unauthorized changes. This also helps maintain code integrity and prevents potential security breaches.",Collaborative coding project testing,Risk,4,5,Observed,rule-of-thumb,Code Management,N,nan,nan,nan,nan,nan,2016-07-07,github/k8s-bot,https://github.com/kubernetes/kubernetes/pull/28509#issuecomment-230994143,repo: kubernetes/kubernetes | issue: Update HumanResourcePrinter signature w single PrintOptions param | keyword: pro tip
Use data-testid instead of aria-label for test selectors,"Using aria-label attribute for both describing UI elements and creating selectors for tests can hamper accessibility due to overuse of labels that may not be useful or up-to-date. Instead, using data-testid for test selectors can improve accessibility and maintainability.",UI testing and accessibility improvement,Efficiency,4,5,Observed,workaround,UI Testing,N,nan,nan,nan,nan,nan,2021-07-07,github/joshhunt,https://github.com/grafana/grafana/issues/36523,repo: grafana/grafana | keyword: best practice | state: open
Use Discord's compatibility with Slack Webhooks to configure Grafana notifications,"This workaround allows you to leverage the compatibility between Discord and Slack Webhooks to set up Grafana notifications. By appending '/slack' to the Discord webhook URL, you can post a Slack-style message to the Discord webhook, which it accepts and formats correctly.",Configuring Grafana notifications via Discord,Efficiency,4,4,Anecdotal,workaround,Communication Tools,N,nan,nan,nan,nan,nan,2024-10-08,github/Mydayyy,https://github.com/grafana/grafana/issues/86565#issuecomment-2400599992,repo: grafana/grafana | issue: Alerting: Discord alert message is above the title | keyword: workaround
Use message content instead of embed for Discord alerts in Grafana to avoid markdown issues.,Embeds in Discord alerts can cause issues when the message includes Discord markdown. Using the message content directly bypasses this problem.,Grafana Discord alert markdown issues,Efficiency,3,4,Observed,workaround,Bug Fixing,N,nan,nan,nan,nan,nan,2024-10-19,github/cwchristerw,https://github.com/grafana/grafana/issues/86565#issuecomment-2423648786,repo: grafana/grafana | issue: Alerting: Discord alert message is above the title | keyword: workaround
Use Discord's compatibility with Slack Webhooks to configure Grafana notifications,"This workaround allows you to leverage Discord's Slack compatibility to receive Grafana notifications. By appending '/slack' to the Discord webhook URL, you can send Slack-style messages to Discord, which are formatted correctly.",Configuring Grafana notifications via Discord,Efficiency,4,3,Anecdotal,workaround,Notification Management,N,nan,nan,nan,nan,nan,2025-01-23,github/erkston,https://github.com/grafana/grafana/issues/86565#issuecomment-2611087544,repo: grafana/grafana | issue: Alerting: Discord alert message is above the title | keyword: workaround
Use the 'description' field instead of 'content' for Discord alert messages,"This tactic works because Discord's API places the 'content' field above the title, which can lead to confusion. By using the 'description' field instead, the alert message appears below the title, improving readability and comprehension.",Improving Discord alert message placement,Efficiency,4,5,Observed,workaround,Communication Management,N,nan,nan,nan,nan,nan,2025-08-16,github/khj68,https://github.com/grafana/grafana/issues/86565#issuecomment-3193703861,repo: grafana/grafana | issue: Alerting: Discord alert message is above the title | keyword: workaround
Use 'Outer join' before 'Reduce' and 'Last*' instead of 'mean' in Grafana transformations,"This workaround helps to correctly display values in Grafana transformations, avoiding the issue of incorrect values being shown.",Grafana transformations showing incorrect values,Efficiency,3,4,Observed,workaround,Data Visualization,N,nan,nan,nan,nan,nan,2024-07-26,github/atsai1220,https://github.com/grafana/grafana/issues/44791#issuecomment-2253176909,repo: grafana/grafana | issue: Reduce tranformations shows incorrect values | keyword: workaround
Use 'Rename field' transformation before 'Grouping to matrix' when dealing with table data in Grafana.,"This workaround prevents the name of the Cell value field from appearing in the header instead of the value referred by the Column name. By renaming the field first, the 'Grouping to matrix' transformation can correctly identify the desired header.",Grafana table data transformation,Efficiency,3,4,Observed,workaround,Data Visualization,N,nan,nan,nan,nan,nan,2024-05-03,github/danialre,https://github.com/grafana/grafana/issues/87332,repo: grafana/grafana | keyword: workaround | state: open
Use 'Fields with name' override to correct display names in tables,"This workaround allows you to select by name and change the display, even when the config.displayName is incorrect. It bypasses the issue by using the correct 'name' field instead of relying on the faulty config.displayName.",Correcting table display names,Efficiency,4,4,Anecdotal,workaround,Data Management,N,nan,nan,nan,nan,nan,2024-09-26,github/jlangy,https://github.com/grafana/grafana/issues/87332#issuecomment-2377906053,repo: grafana/grafana | issue: Transformation: Grouping to matrix header incorrect | keyword: workaround
Use the 'transpose' transformation in Grafana to fix incorrect matrix header grouping.,"The 'transpose' transformation in Grafana 11.3.1 corrects the field name, fixing the issue of incorrect matrix header grouping. This is followed by inverting the column & row, and changing the type for the Time field, which requires two casts (number then time).",Fixing incorrect matrix header grouping,Efficiency,3,4,Observed,workaround,Data Visualization,N,nan,nan,nan,nan,nan,2024-12-04,github/Stormshield-robinc,https://github.com/grafana/grafana/issues/87332#issuecomment-2516922882,repo: grafana/grafana | issue: Transformation: Grouping to matrix header incorrect | keyword: workaround
Use unique aliases for each alert when multiple Grafana instances use the same Opsgenie API key,"Using unique aliases for each alert prevents all alerts from opening only one Opsgenie ticket, thus ensuring each alert is treated as a separate incident and not overlooked",Managing multiple Grafana alerts,Risk,4,5,Observed,workaround,Incident Management,N,nan,nan,nan,nan,nan,2022-08-23,github/ZoharZrihen,https://github.com/grafana/grafana/issues/30080#issuecomment-1224058630,repo: grafana/grafana | issue: Allow a custom prefix for OpsGenie notifications | keyword: workaround
Use 'rpmrebuild' to change 'freetype' to 'libfreetype.so.6()(64bit)' for successful rpm installation on SLES.,"The original 'freetype' may not be compatible with SLES, causing installation issues. Changing it to 'libfreetype.so.6()(64bit)' using 'rpmrebuild' resolves this compatibility issue, allowing for successful installation.",Installing rpm on SLES,Efficiency,3,4,Observed,workaround,Software Installation,N,nan,nan,nan,nan,nan,2024-06-05,github/jhansonhpe,https://github.com/grafana/grafana/issues/53909#issuecomment-2150751759,repo: grafana/grafana | issue: Cannot install grafana rpm in SLES | keyword: workaround
Use absolute paths in GitSync to avoid file location issues,"GitSync may not correctly identify file locations when relative paths are used, leading to errors. Using absolute paths ensures GitSync can find the correct file location, avoiding these issues.",GitSync file location errors,Efficiency,4,4,Anecdotal,workaround,Bug Fixing,N,nan,nan,nan,nan,nan,2025-06-27,github/CaffeineDuck,https://github.com/grafana/grafana/issues/105092#issuecomment-3012016112,"repo: grafana/grafana | issue: GitSync provisioning in v12: ""get client for kind: the server could not find the requested resource"" | keyword: workaround"
Use environment variables as a temporary workaround when dealing with software configuration issues.,Environment variables can be used to override certain settings in the software configuration. This is particularly useful when a bug or regression prevents the normal configuration method from working.,Software configuration issue workaround,Efficiency,4,4,Observed,workaround,Software Development,N,nan,nan,nan,nan,nan,2025-08-06,github/joshhunt,https://github.com/grafana/grafana/issues/108808#issuecomment-3160570136,repo: grafana/grafana | issue: Config: date formats no longer configurable via environment variables in 12.1.0 | keyword: workaround
Use a 'ring' utility to shard requests based on the tenant for better load distribution.,"Sharding requests based on the tenant can help distribute the load more evenly across your servers, preventing any one server from becoming a bottleneck and improving overall system performance.",Improving server load distribution,Efficiency,4,4,Observed,workaround,System Optimization,N,nan,nan,nan,nan,nan,2025-04-10,github/gassiss,https://github.com/grafana/grafana/pull/103783,repo: grafana/grafana | keyword: gotcha | state: closed
Use value mapping for 'no data'-state to display a text/value instead,"This tactic enables users to display a more meaningful or relevant value/text when there's no data, instead of the generic 'no data' text. This can improve user experience and provide more context in data visualization tools.",Improving data visualization user experience,Efficiency,4,4,Observed,workaround,Data Visualization,N,nan,nan,nan,nan,nan,2019-12-03,github/mckn,https://github.com/grafana/grafana/pull/20842,repo: grafana/grafana | keyword: pro tip | state: closed
Use 'for_each' over the vault provider to reduce code redundancy,"By using the 'for_each' function over the vault provider, you can avoid duplicating the same piece of code for each namespace. This not only makes your code more efficient and readable, but also reduces the chance of errors.",Reducing code redundancy,Efficiency,4,5,Observed,workaround,Code Efficiency,N,nan,nan,nan,nan,nan,2020-09-16,github/rgevaert,https://github.com/hashicorp/terraform/issues/19932#issuecomment-693464489,repo: hashicorp/terraform | issue: Instantiating Multiple Providers with a loop | keyword: best practice
Use multiple providers and modules to create sets of S3 buckets across different regions.,"This workaround allows for the creation of multiple resources across different regions, which is not possible with provider interpolation. It's a more flexible approach to resource management in Terraform.",Managing multiple AWS resources,Efficiency,4,4,Observed,workaround,Resource Management,N,nan,nan,nan,nan,nan,2021-04-21,github/egeexyz,https://github.com/hashicorp/terraform/issues/19932#issuecomment-823748793,repo: hashicorp/terraform | issue: Instantiating Multiple Providers with a loop | keyword: best practice
Use Meta-Arguments 'condition' or 'include_if' to avoid using 'count= 0 or 1' or 'for_each empty or single item' in Terraform.,This tactic reduces the complexity of Terraform code by avoiding the use of logical statements in 'count'. It simplifies the code and makes it easier to maintain and understand.,Simplifying Terraform code,Efficiency,4,5,Observed,workaround,Code Simplification,N,nan,nan,nan,nan,nan,2021-08-07,github/damon-atkins,https://github.com/hashicorp/terraform/issues/21953#issuecomment-894608054,repo: hashicorp/terraform | issue: `enabled` parameter to avoid logical statements in `count` | keyword: best practice
Use 'enabled = <condition>' as a syntactic sugar to avoid complex logical statements in 'count' or 'for_each'.,"This approach simplifies the code, making it easier to read and maintain. It also reduces the potential for errors in complex logical statements.",Simplifying Terraform resource configuration,Efficiency,4,4,Observed,workaround,Code Optimization,N,nan,nan,nan,nan,nan,2022-08-16,github/nikolay,https://github.com/hashicorp/terraform/issues/21953#issuecomment-1216071967,repo: hashicorp/terraform | issue: 'enabled' parameter to avoid logical statements in 'count' | keyword: best practice
Use `one()` function in Terraform to avoid logical statements in `count`,The `one()` function in Terraform can serve as a workaround to avoid logical statements in `count`. It will return null if the expression does not evaluate and will be the specified attribute of `item[0]` if there is a zeroth item. This can help in simplifying the code and avoiding potential errors.,Avoiding logical statements in count,Efficiency,4,4,Observed,workaround,Code Optimization,N,nan,nan,nan,nan,nan,2022-08-19,github/schollii,https://github.com/hashicorp/terraform/issues/21953#issuecomment-1221169985,repo: hashicorp/terraform | issue: `enabled` parameter to avoid logical statements in `count` | keyword: best practice
Avoid relying solely on `prevent_destroy` in Terraform for resource protection.,"The `prevent_destroy` flag in Terraform can lead to frustration as it prevents half of its intended use case. It's designed to prevent accidental deletion of resources, but its current implementation can also hinder successful operations.",Terraform resource protection,Efficiency,3,4,Anecdotal,warning,Infrastructure Management,N,nan,nan,nan,nan,nan,2015-11-12,github/ketzacoatl,https://github.com/hashicorp/terraform/issues/3874,repo: hashicorp/terraform | keyword: best practice | state: open
Use 'terraform plan -destroy' with '-keep-prevent-destroy' flag to safeguard essential resources,"In the context of infrastructure as code, this tactic allows you to plan for the destruction of your infrastructure while preserving certain resources. This is useful when you have resources like Elastic IP addresses (EIPs) that need to be whitelisted or otherwise preserved during a destroy operation. The '-keep-prevent-destroy' flag ensures these resources are not destroyed, providing a safety net and avoiding potential disruptions.",Preserving essential resources during destruction,Risk,4,5,Observed,workaround,Infrastructure Management,N,nan,nan,nan,nan,nan,2015-11-16,github/mrfoobar1,https://github.com/hashicorp/terraform/issues/3874#issuecomment-157086868,repo: hashicorp/terraform | issue: prevent_destroy should let you succeed | keyword: best practice
Use `terraform destroy --ignore-prevent-destroy` for integration tests,"This command allows for the destruction of all resources after running integration tests, even those marked with prevent_destroy. It's a workaround for the inability to conditionally set resources to prevent_destroy, ensuring a clean state for each test run.",Running integration tests with Terraform,Efficiency,4,5,Observed,workaround,Testing,N,nan,nan,nan,nan,nan,2017-01-19,github/glasser,https://github.com/hashicorp/terraform/issues/3874#issuecomment-273662886,repo: hashicorp/terraform | issue: prevent_destroy should let you succeed | keyword: best practice
Use 'prevent_destroy' flag selectively to avoid unnecessary alerts,"The 'prevent_destroy' flag in Terraform is designed to alert and error out when an attempt is made to destroy a resource. However, indiscriminate use of this flag can lead to unnecessary alerts and hinder the efficient management of resources. By using this flag selectively, only on critical resources, you can ensure that alerts are meaningful and actionable.",Resource management in Terraform,Efficiency,4,4,Observed,workaround,Resource Management,N,nan,nan,nan,nan,nan,2017-06-06,github/HighwayofLife,https://github.com/hashicorp/terraform/issues/3874#issuecomment-306638305,repo: hashicorp/terraform | issue: prevent_destroy should let you succeed | keyword: best practice
Use 'for_each' support for modules when managing multiple AWS accounts in Terraform.,"The 'for_each' function in Terraform allows you to create multiple instances of a resource or module. This is particularly useful when managing a list of AWS accounts, as it allows you to provision each account with a set of standard resources in a more efficient and streamlined manner.",Managing multiple AWS accounts,Efficiency,4,4,Observed,workaround,Infrastructure Management,N,nan,nan,nan,nan,nan,2020-09-04,github/gbataille,https://github.com/hashicorp/terraform/issues/24476#issuecomment-686968681,repo: hashicorp/terraform | issue: Ability to pass providers to modules in for_each | keyword: best practice
Use 'for_each' instead of 'provider' when passing variables to modules in Terraform.,This approach allows you to manage multiple instances of a module in a more efficient way. It avoids the need to duplicate code and makes your configuration more maintainable and scalable.,Managing multiple module instances,Efficiency,4,4,Observed,workaround,Code Efficiency,N,nan,nan,nan,nan,nan,2020-09-25,github/vivanov-dp,https://github.com/hashicorp/terraform/issues/24476#issuecomment-698825661,repo: hashicorp/terraform | issue: Ability to pass providers to modules in for_each | keyword: best practice
Use AWS profiles instead of direct access keys in build steps,"Using AWS profiles allows for better security and management of access keys, as they are not directly exposed in the build steps. This approach also enables easy switching between different AWS accounts.",Managing AWS access in build steps,Risk,4,4,Anecdotal,workaround,Security Management,N,nan,nan,nan,nan,nan,2017-04-11,github/darrensimio,https://github.com/hashicorp/terraform/issues/13022#issuecomment-293172268,repo: hashicorp/terraform | issue: Using variables in terraform backend config block | keyword: best practice
Use a wrapper script to pass variables into `init` for Terraform backend configuration,"This workaround leverages Terraform's ability to remember what you pass into `init`. By using a wrapper script to grab variables from a file or environment variable, you can streamline the process of setting `-backend-config` flags.",Streamlining Terraform backend configuration,Efficiency,4,4,Observed,workaround,DevOps,N,nan,nan,nan,nan,nan,2018-11-28,github/glenjamin,https://github.com/hashicorp/terraform/issues/13022#issuecomment-442499201,repo: hashicorp/terraform | issue: Using variables in terraform backend config block | keyword: best practice
Use symbolic links instead of copying files to save storage space.,"Creating symbolic links instead of copying files can save significant storage space, especially when dealing with large files or directories. This is particularly useful in scenarios where storage can become a problem, such as managing Terraform Modules & Git repositories.",Managing large files or directories,Efficiency,4,4,Observed,workaround,Storage Management,N,nan,nan,nan,nan,nan,2021-09-05,github/fblgit,https://github.com/hashicorp/terraform/issues/29503#issuecomment-913185996,repo: hashicorp/terraform | issue: Don't make redundant copies of the same module package | keyword: best practice
Use `docker exec` for provisioning instead of ssh connection,"This method eliminates the need to set up an ssh daemon on the docker container, which can simplify the process and reduce potential points of failure.",Provisioning in Docker environments,Efficiency,4,4,Observed,workaround,DevOps,N,nan,nan,nan,nan,nan,2016-01-15,github/clofresh,https://github.com/hashicorp/terraform/issues/4686,repo: hashicorp/terraform | keyword: best practice | state: open
Use the `TF_DATA_DIR` variable to create region-specific Terraform backends,"By using the `TF_DATA_DIR` variable, you can dynamically set up Terraform backends for different regions or environments. This allows for more granular control and isolation of resources, reducing the risk of cross-environment contamination and making it easier to manage and troubleshoot issues.",Setting up region-specific Terraform backends,"Efficiency, Risk",4,4,Observed,workaround,Infrastructure Management,N,nan,nan,nan,nan,nan,2024-04-04,github/julian-alarcon,https://github.com/hashicorp/terraform/issues/18632#issuecomment-2036465697,repo: hashicorp/terraform | issue: terraform init seems to not support basic terraform best practice | keyword: best practice
"Use a null resource combined with local exec to manage remote server objects in Terraform, instead of triggers.","This workaround avoids storing sensitive tokens in the tfstate, which can pose a security risk. By using a null resource and local exec, you can manage objects on a remote server without compromising security.",Remote server object management,Risk,4,4,Observed,workaround,Security Management,N,nan,nan,nan,nan,nan,2020-03-25,github/mldmld68,https://github.com/hashicorp/terraform/issues/23679#issuecomment-603713100,repo: hashicorp/terraform | issue: Allow destroy-time provisioners to access variables | keyword: best practice
